\\i2b2\\OSIRIS\\;ID_0;OSIRIS;;2019-02-19 18:08:09.197729;2019-02-19 18:08:09.197744;2019-02-19 18:08:09.197747;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\;ID_2;Patient;;2019-02-19 18:08:09.198511;2019-02-19 18:08:09.198518;2019-02-19 18:08:09.198521;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Gender\\;ID_4;Gender;;2019-02-19 18:08:09.198576;2019-02-19 18:08:09.198581;2019-02-19 18:08:09.198583;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Gender\\Male\\;Patient|Gender:Male;Gender;;2019-02-19 18:08:10.068082;2019-02-19 18:08:10.068093;2019-02-19 18:08:10.068096;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Gender\\Female\\;Patient|Gender:Female;Gender;;2019-02-19 18:08:10.068332;2019-02-19 18:08:10.068335;2019-02-19 18:08:10.068338;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Gender\\Undifferentiated\\;Patient|Gender:Undifferentiated;Gender;;2019-02-19 18:08:10.068361;2019-02-19 18:08:10.068364;2019-02-19 18:08:10.068366;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Gender\\Unknown\\;Patient|Gender:Unknown;Gender;;2019-02-19 18:08:10.068381;2019-02-19 18:08:10.068384;2019-02-19 18:08:10.068386;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\;ID_5;Ethnicity;;2019-02-19 18:08:10.068480;2019-02-19 18:08:10.068484;2019-02-19 18:08:10.068486;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\AmericanIndianorAlaskaNative\\;Patient|Ethnicity:American Indian or Alaska Native;Ethnicity;;2019-02-19 18:08:11.060523;2019-02-19 18:08:11.060533;2019-02-19 18:08:11.060536;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\AmericanIndian\\;Patient|Ethnicity:American Indian;Ethnicity;;2019-02-19 18:08:11.060743;2019-02-19 18:08:11.060746;2019-02-19 18:08:11.060748;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Asian\\;Patient|Ethnicity:Asian;Ethnicity;;2019-02-19 18:08:11.060766;2019-02-19 18:08:11.060769;2019-02-19 18:08:11.060771;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\AsianIndian\\;Patient|Ethnicity:Asian Indian;Ethnicity;;2019-02-19 18:08:11.060784;2019-02-19 18:08:11.060786;2019-02-19 18:08:11.060788;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Bangladeshi\\;Patient|Ethnicity:Bangladeshi;Ethnicity;;2019-02-19 18:08:11.060800;2019-02-19 18:08:11.060802;2019-02-19 18:08:11.060804;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Bhutanese\\;Patient|Ethnicity:Bhutanese;Ethnicity;;2019-02-19 18:08:11.060816;2019-02-19 18:08:11.060818;2019-02-19 18:08:11.060820;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Burmese\\;Patient|Ethnicity:Burmese;Ethnicity;;2019-02-19 18:08:11.060831;2019-02-19 18:08:11.060833;2019-02-19 18:08:11.060835;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Cambodian\\;Patient|Ethnicity:Cambodian;Ethnicity;;2019-02-19 18:08:11.060846;2019-02-19 18:08:11.060849;2019-02-19 18:08:11.060850;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Chinese\\;Patient|Ethnicity:Chinese;Ethnicity;;2019-02-19 18:08:11.060862;2019-02-19 18:08:11.060864;2019-02-19 18:08:11.060865;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Taiwanese\\;Patient|Ethnicity:Taiwanese;Ethnicity;;2019-02-19 18:08:11.060877;2019-02-19 18:08:11.060879;2019-02-19 18:08:11.060881;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Filipino\\;Patient|Ethnicity:Filipino;Ethnicity;;2019-02-19 18:08:11.060898;2019-02-19 18:08:11.060900;2019-02-19 18:08:11.060902;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Hmong\\;Patient|Ethnicity:Hmong;Ethnicity;;2019-02-19 18:08:11.060914;2019-02-19 18:08:11.060916;2019-02-19 18:08:11.060918;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Indonesian\\;Patient|Ethnicity:Indonesian;Ethnicity;;2019-02-19 18:08:11.060929;2019-02-19 18:08:11.060931;2019-02-19 18:08:11.060933;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Japanese\\;Patient|Ethnicity:Japanese;Ethnicity;;2019-02-19 18:08:11.060944;2019-02-19 18:08:11.060946;2019-02-19 18:08:11.060947;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Korean\\;Patient|Ethnicity:Korean;Ethnicity;;2019-02-19 18:08:11.060959;2019-02-19 18:08:11.060961;2019-02-19 18:08:11.060963;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Laotian\\;Patient|Ethnicity:Laotian;Ethnicity;;2019-02-19 18:08:11.060975;2019-02-19 18:08:11.060977;2019-02-19 18:08:11.060978;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Malaysian\\;Patient|Ethnicity:Malaysian;Ethnicity;;2019-02-19 18:08:11.060990;2019-02-19 18:08:11.060992;2019-02-19 18:08:11.060993;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Okinawan\\;Patient|Ethnicity:Okinawan;Ethnicity;;2019-02-19 18:08:11.061006;2019-02-19 18:08:11.061009;2019-02-19 18:08:11.061011;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Pakistani\\;Patient|Ethnicity:Pakistani;Ethnicity;;2019-02-19 18:08:11.061021;2019-02-19 18:08:11.061023;2019-02-19 18:08:11.061025;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\SriLankan\\;Patient|Ethnicity:Sri Lankan;Ethnicity;;2019-02-19 18:08:11.061036;2019-02-19 18:08:11.061038;2019-02-19 18:08:11.061040;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Thai\\;Patient|Ethnicity:Thai;Ethnicity;;2019-02-19 18:08:11.061051;2019-02-19 18:08:11.061053;2019-02-19 18:08:11.061055;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Vietnamese\\;Patient|Ethnicity:Vietnamese;Ethnicity;;2019-02-19 18:08:11.061067;2019-02-19 18:08:11.061069;2019-02-19 18:08:11.061071;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\IwoJiman\\;Patient|Ethnicity:Iwo Jiman;Ethnicity;;2019-02-19 18:08:11.061082;2019-02-19 18:08:11.061084;2019-02-19 18:08:11.061086;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Maldivian\\;Patient|Ethnicity:Maldivian;Ethnicity;;2019-02-19 18:08:11.061097;2019-02-19 18:08:11.061099;2019-02-19 18:08:11.061101;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Nepalese\\;Patient|Ethnicity:Nepalese;Ethnicity;;2019-02-19 18:08:11.061112;2019-02-19 18:08:11.061114;2019-02-19 18:08:11.061115;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Singaporean\\;Patient|Ethnicity:Singaporean;Ethnicity;;2019-02-19 18:08:11.061126;2019-02-19 18:08:11.061128;2019-02-19 18:08:11.061130;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Madagascar\\;Patient|Ethnicity:Madagascar;Ethnicity;;2019-02-19 18:08:11.061143;2019-02-19 18:08:11.061145;2019-02-19 18:08:11.061147;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\BlackorAfricanAmerican\\;Patient|Ethnicity:Black or African American;Ethnicity;;2019-02-19 18:08:11.061159;2019-02-19 18:08:11.061161;2019-02-19 18:08:11.061163;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Black\\;Patient|Ethnicity:Black;Ethnicity;;2019-02-19 18:08:11.061174;2019-02-19 18:08:11.061176;2019-02-19 18:08:11.061178;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\AfricanAmerican\\;Patient|Ethnicity:African American;Ethnicity;;2019-02-19 18:08:11.061189;2019-02-19 18:08:11.061191;2019-02-19 18:08:11.061193;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\African\\;Patient|Ethnicity:African;Ethnicity;;2019-02-19 18:08:11.061206;2019-02-19 18:08:11.061208;2019-02-19 18:08:11.061210;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Bahamian\\;Patient|Ethnicity:Bahamian;Ethnicity;;2019-02-19 18:08:11.061221;2019-02-19 18:08:11.061223;2019-02-19 18:08:11.061225;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Barbadian\\;Patient|Ethnicity:Barbadian;Ethnicity;;2019-02-19 18:08:11.061236;2019-02-19 18:08:11.061238;2019-02-19 18:08:11.061240;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Dominican\\;Patient|Ethnicity:Dominican;Ethnicity;;2019-02-19 18:08:11.061250;2019-02-19 18:08:11.061252;2019-02-19 18:08:11.061254;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\DominicaIslander\\;Patient|Ethnicity:Dominica Islander;Ethnicity;;2019-02-19 18:08:11.061265;2019-02-19 18:08:11.061267;2019-02-19 18:08:11.061269;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Haitian\\;Patient|Ethnicity:Haitian;Ethnicity;;2019-02-19 18:08:11.061281;2019-02-19 18:08:11.061283;2019-02-19 18:08:11.061285;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Jamaican\\;Patient|Ethnicity:Jamaican;Ethnicity;;2019-02-19 18:08:11.061296;2019-02-19 18:08:11.061298;2019-02-19 18:08:11.061300;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Tobagoan\\;Patient|Ethnicity:Tobagoan;Ethnicity;;2019-02-19 18:08:11.061311;2019-02-19 18:08:11.061313;2019-02-19 18:08:11.061315;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\Trinidadian\\;Patient|Ethnicity:Trinidadian;Ethnicity;;2019-02-19 18:08:11.061326;2019-02-19 18:08:11.061328;2019-02-19 18:08:11.061330;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\WestIndian\\;Patient|Ethnicity:West Indian;Ethnicity;;2019-02-19 18:08:11.061341;2019-02-19 18:08:11.061343;2019-02-19 18:08:11.061344;TEST_OSIRIS;None
\\i2b2\\OSIRIS\\Patient\\Ethnicity\\NativeHawaiianorOtherPacificIslander\\;Patient|Ethnicity:Native Hawaiian or Other Pacific Islander;Ethnicity;;2019-02-19 18:08:11.061356;2019-02-19 18:08:11.061358;2019-02-19 18:08:11.061360;TEST_OSIRIS;None
